hospid,hospname,city,zipcode,owner,beds,church,zip,othernfp,forprofit,countyowner,ER,burncare,CICU,NICU,alternate_birthing,hospice,alcohol_rehab,drug_rehab,ctscan,MRI,PET_scan,lithotripsy,heartsurgery,cardiaccath,homehealth,residency_program,radiation_therapy,physical_rehab,transplant,trauma,occupancy,clinic_visits,ER_visits,surgeries,OPTsurgeries,currentassets,PPE,accumulated_depreciation,total_assets,current_liabilities,longterm_debt,chargestot,chargesIPT,chargesOPT,chargesANC,deductions,otherrevenue,net_revenue,patient_revenue,totexpenses,iptexpenses,ambexpenses,ancexpenses,resexpenses,edexpenses,adminexpenses,netincome,l_pr,l_or,l_admin_exp
10735,ALAMEDA HOSPITAL,ALAMEDA,945014397,ALAMEDA HOSPITAL,135,0,94501,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.312125832,,14064,2044,,11116433,9793796,-25787848,26255194,5524684,,136115712,46761224,7873846,81480640,105804560,107707,30418856,30311148,35000352,8522715,1898741,9273456,,,14113390,-4581495,17.22702599,11.58716965,16.46263504
10739,ALTA BATES MEDICAL CENTER,BERKELEY,94705,SUTTER HEALTH,509,0,94705,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0.772548914,29461,45481,17995,,65608844,97057488,-215176512,194982528,64831488,120843272,1266569472,474127392,30458288,761983744,969809664,8542142,353104608,344562464,345814464,80805712,10367048,129211104,128955,,105813680,7290149,19.65778542,15.96052265,18.47719002
10805,EDEN MEDICAL CENTER,CASTRO VALLEY,94546,EDEN MEDICAL CENTER,245,0,94546,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0.568275094,,30001,4341,,42020792,54293940,-20253712,105967464,9338961,64856264,374003104,114215776,42690864,217096464,255254512,3006295,121754888,118748592,119238064,30962664,5840030,35523044,,147144,36753704,2516825,18.59251976,14.91621876,17.41975021
10846,ALAMEDA COUNTY MEDICAL CENTER,OAKLAND,94602,ALAMEDA COUNTY,405,0,94602,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0.816066265,153918,48607,2850,,51174308,69033240,-81817928,126686584,75510536,12540879,469591648,218677520,53044568,197869536,116024968,6832417,360399072,353566656,291466048,55061504,31400144,50018700,,22393674,109746560,68933040,19.68358231,15.73718929,18.51368332
10937,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,94609,SUTTER HEALTH,279,0,94609,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0.97073698,19049,48154,9013,1656,86166264,113087312,-251668448,247574880,43673872,104730328,1003487744,296275968,21632018,685579776,758640640,20509134,265356288,244847152,262988656,59502324,10649259,84329296,,19029252,69650472,2367630,19.31614494,16.83638,18.05900002
10967,HAYWARD SISTERS HOSPITAL,HAYWARD,945454383,HAYWARD SISTERS HOSPITAL,175,1,94545,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.50619179,22975,28571,1941,,17482784,17658392,-30511562,38563008,27052572,1066714,168745856,62685644,10657729,95402488,104467368,879985,65158480,64278496,64788336,14536443,5866659,20792180,,,20495492,370141,17.97873497,13.68766022,16.83571625
10983,THE HOSPITAL COMMITTEE FOR THE LIVERMORE,PLEASANTON,94588,THE HOSPITAL COMMITTEE FOR LIVERMORE,124,0,94588,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0.881926656,11272,23635,6307,,42509736,66750272,-42892336,158814864,30195656,65292248,415748288,81892512,17122194,316733600,292370240,2013141,125391208,123378064,117664208,18508076,3496839,42742592,,,44509812,7727002,18.63076401,14.51520634,17.61121941
10987,WASHINGTON TOWNSHIP HEALTH CARE DISTRICT,FREMONT,945381716,WASHINGTON TOWNSHIP HEALTH CARE DISTRICT,274,0,94538,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0.624877512,,43125,3634,,46425488,96201464,-91300176,322370464,34961400,83239312,479460480,121828856,21017112,336614496,294780800,2506160,187196800,184690640,174494848,39274176,6019329,53530412,,,62669624,12701941,19.03419304,14.73426247,17.95338821
13619,SAN LEANDRO HOSPITAL LLC,SAN LEANDRO,94578,TRIAD HOSPITALS INC,80,0,94578,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.971746564,,39311,4932,,7538194,21658640,-31445118,30455516,11328806,54644,216060144,46079752,12693451,157286944,163428304,303712,52952932,52649220,54379488,12029836,2909428,15607988,,,20139502,-1426555,17.77916145,12.62383556,16.81819344
34002,SUTTER AMADOR HOSPITAL,JACKSON,95642,SUTTER HEALTH,66,0,95642,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.696969688,4797,14828,1961,2047,16485834,32947526,-11951161,50577440,7050324,30155572,92131776,14792594,10393923,66945260,46486380,86609,45732008,45645400,37972968,6553350,4327981,11086608,,,11980834,7759037,17.63641357,11.36915874,16.29881859
